Category: Shopping

Week,luminaria: (State of São Paulo)
2016-12-25,26
2017-01-01,51
2017-01-08,32
2017-01-15,40
2017-01-22,62
2017-01-29,30
2017-02-05,21
2017-02-12,20
2017-02-19,62
2017-02-26,42
2017-03-05,0
2017-03-12,0
2017-03-19,20
2017-03-26,19
2017-04-02,49
2017-04-09,21
2017-04-16,31
2017-04-23,19
2017-04-30,41
2017-05-07,40
2017-05-14,21
2017-05-21,21
2017-05-28,21
2017-06-04,40
2017-06-11,0
2017-06-18,20
2017-06-25,21
2017-07-02,22
2017-07-09,54
2017-07-16,32
2017-07-23,31
2017-07-30,20
2017-08-06,40
2017-08-13,20
2017-08-20,50
2017-08-27,80
2017-09-03,54
2017-09-10,100
2017-09-17,20
2017-09-24,19
2017-10-01,39
2017-10-08,31
2017-10-15,28
2017-10-22,19
2017-10-29,81
2017-11-05,37
2017-11-12,78
2017-11-19,47
2017-11-26,19
2017-12-03,50
2017-12-10,49
2017-12-17,63
2017-12-24,49
2017-12-31,55
2018-01-07,47
2018-01-14,38
2018-01-21,48
2018-01-28,19
2018-02-04,19
2018-02-11,31
2018-02-18,56
2018-02-25,37
2018-03-04,18
2018-03-11,37
2018-03-18,73
2018-03-25,38
2018-04-01,65
2018-04-08,38
2018-04-15,37
2018-04-22,19
2018-04-29,40
2018-05-06,47
2018-05-13,0
2018-05-20,19
2018-05-27,49
2018-06-03,55
2018-06-10,26
2018-06-17,19
2018-06-24,38
2018-07-01,39
2018-07-08,69
2018-07-15,20
2018-07-22,56
2018-07-29,72
2018-08-05,27
